Frame,Sekunde,Aktion,WRIST_Y,SHOULDER_Y,ANKLE_Y,Sichtbarkeit,Fehler
447,17.88,neutral,0.6899853348731995,0.6451112031936646,0.7815861701965332,0.88,False
448,17.92,neutral,0.6839205026626587,0.6494027972221375,0.7758658528327942,0.88,False
449,17.96,Angriff,0.64573734998703,0.6491932272911072,0.7828251719474792,0.89,False
450,18.0,neutral,0.6832408308982849,0.6517400145530701,0.7927573323249817,0.9,False
451,18.04,neutral,0.6892149448394775,0.6512904167175293,0.7911447882652283,0.91,False
452,18.08,neutral,0.6897828578948975,0.6441343426704407,0.7245545387268066,0.92,False
453,18.12,neutral,0.6822184324264526,0.6385781764984131,0.7511377930641174,0.92,False
454,18.16,neutral,0.6908935308456421,0.6439900994300842,0.6780444383621216,0.92,False
455,18.2,neutral,0.693526029586792,0.6407793164253235,0.7281585335731506,0.92,False
456,18.24,neutral,0.6666005849838257,0.6419535279273987,0.7836062908172607,0.92,False
457,18.28,Angriff,0.6247168779373169,0.6464847326278687,0.7479032874107361,0.92,False
458,18.32,Angriff,0.6276741623878479,0.6472013592720032,0.7658216953277588,0.92,False
459,18.36,Angriff,0.6299140453338623,0.6470673680305481,0.7969715595245361,0.91,False
460,18.4,Angriff,0.6334492564201355,0.6430480480194092,0.7972850799560547,0.91,False
461,18.44,Angriff,0.6246553063392639,0.6400892734527588,0.7984017133712769,0.91,False
462,18.48,Angriff,0.6220104694366455,0.6370413303375244,0.7896751761436462,0.91,False
463,18.52,neutral,0.6857254505157471,0.6504554152488708,0.7929070591926575,0.87,False
